000000000,0
000010000,10
000010001,10
000010100,10
001010000,10
011010110,5
011010111,5
011011001,5
011011100,5
011011101,5
011100000,5
011100001,5
011100100,5
011101111,10
011110001,5
011110100,5
011110101,5
100001010,5
100001011,5
100001110,5
100010000,10
100011011,5
100011110,5
100011111,5
100100010,5
100100011,5
100100110,5
100101000,5
100101001,5
100101100,5
100110011,5
100110110,5
100110111,5
100111001,5
100111011,3
100111100,5
100111101,5
100111110,3
100111111,3
101000010,3
101001000,3
101001010,5
101010010,7
101010011,7
101010110,7
101011000,7
101011001,7
101011010,5
101011011,5
101011100,7
101011110,5
101100000,3
101100010,5
101101000,5
101101010,7
101110000,7
101110001,7
101110010,5
101110011,5
101110100,7
101110101,6
101110110,5
101111000,5
101111001,5
101111010,3
101111011,3
101111100,5
101111110,3
110000000,3
110000001,3
110000010,5
110000011,5
110000100,3
110000110,5
110000111,6
110001000,5
110001001,5
110001010,7
110001011,7
110001100,5
110001101,6
110001110,7
110010001,7
110010010,6
110010011,5
110010100,7
110010101,7
110010110,5
110010111,5
110011000,6
110011001,5
110011011,3
110011100,5
110011101,5
110011110,3
110011111,3
110100000,5
110100001,5
110100010,7
110100011,7
110100100,5
110100101,6
110100110,7
110101000,7
110101001,7
110101100,7
110101111,10
110110000,6
110110001,5
110110011,3
110110100,5
110110101,5
110110110,3
110110111,3
110111001,3
110111100,3
110111101,3
111000000,3
111000010,5
111000011,6
111000110,6
111000111,6
111001000,5
111001001,6
111001010,7
111001100,6
111001101,6
111010000,8
111010001,7
111010010,5
111010011,5
111010100,7
111010101,6
111010110,5
111010111,4
111011000,5
111011001,5
111011010,3
111011011,3
111011100,5
111011101,4
111011110,3
111100000,5
111100001,6
111100010,7
111100100,6
111100101,6
111101000,7
111101011,10
111101110,10
111101111,10
111110000,5
111110001,5
111110010,3
111110011,3
111110100,5
111110101,4
111110110,3
111111000,3
111111001,3
111111100,3
111111111,0
